NO_OF_FRAMES	3915
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:17:45.381	3507.33998200
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
67	0.66000	572.39593	184.67397	287.65755	0.42646	-0.26685	47.17700	0.31915	0.67973	0.73341	0.00862	-0.73345	0.67974	0.00164	-0.00466	-0.00744	0.99996	
68	0.67000	572.40971	184.72107	287.66296	0.42616	-0.26535	47.35547	0.32974	0.67744	0.73553	0.00861	-0.73556	0.67745	0.00163	-0.00463	-0.00744	0.99996	
69	0.68000	572.41122	184.76388	287.65606	0.42812	-0.26304	47.52122	0.31678	0.67531	0.73748	0.00861	-0.73752	0.67532	0.00166	-0.00459	-0.00747	0.99996	
70	0.69000	572.36368	184.77200	287.65529	0.41796	-0.25928	47.68420	0.31597	0.67321	0.73940	0.00844	-0.73944	0.67322	0.00156	-0.00453	-0.00729	0.99996	
71	0.70000	572.35935	184.78578	287.65113	0.40979	-0.26182	47.85048	0.31179	0.67106	0.74136	0.00837	-0.74139	0.67107	0.00141	-0.00457	-0.00715	0.99996	
72	0.71000	572.27685	184.82246	287.67952	0.41038	-0.25503	48.00493	0.33660	0.66906	0.74316	0.00830	-0.74319	0.66907	0.00148	-0.00445	-0.00716	0.99996	
73	0.72000	572.27464	184.88677	287.69794	0.41741	-0.25898	48.15910	0.34841	0.66706	0.74496	0.00844	-0.74499	0.66707	0.00149	-0.00452	-0.00728	0.99996	
74	0.73000	572.25449	184.93405	287.70564	0.42856	-0.25906	48.31904	0.33227	0.66498	0.74682	0.00859	-0.74685	0.66499	0.00160	-0.00452	-0.00748	0.99996	
75	0.74000	572.25872	184.95351	287.68564	0.43102	-0.26362	48.48698	0.33916	0.66278	0.74876	0.00868	-0.74880	0.66280	0.00154	-0.00460	-0.00752	0.99996	
76	0.75000	572.22467	184.96620	287.68109	0.43826	-0.26266	48.65720	0.34204	0.66056	0.75073	0.00877	-0.75076	0.66057	0.00161	-0.00458	-0.00765	0.99996	
77	0.76000	572.16946	184.95023	287.63825	0.43088	-0.26434	48.83120	0.30357	0.65827	0.75273	0.00870	-0.75277	0.65829	0.00148	-0.00461	-0.00752	0.99996	
78	0.77000	572.19869	185.00329	287.62669	0.44176	-0.26784	49.00734	0.27056	0.65596	0.75475	0.00889	-0.75479	0.65597	0.00153	-0.00467	-0.00771	0.99996	
79	0.78000	572.22548	185.03058	287.61735	0.44104	-0.27056	49.18324	0.25531	0.65363	0.75676	0.00891	-0.75680	0.65365	0.00146	-0.00472	-0.00770	0.99996	
80	0.79000	572.17704	185.05952	287.63687	0.44058	-0.26396	49.35508	0.26608	0.65136	0.75872	0.00884	-0.75875	0.65138	0.00151	-0.00461	-0.00769	0.99996	
81	0.80000	572.14747	185.09830	287.64461	0.44326	-0.26280	49.53551	0.26238	0.64897	0.76076	0.00886	-0.76080	0.64898	0.00153	-0.00459	-0.00774	0.99996	
82	0.81000	572.13036	185.11092	287.62724	0.43617	-0.25975	49.70245	0.25123	0.64675	0.76265	0.00874	-0.76269	0.64676	0.00147	-0.00453	-0.00761	0.99996	
83	0.82000	572.09491	185.12291	287.63587	0.44023	-0.25715	49.88039	0.22847	0.64438	0.76466	0.00877	-0.76469	0.64439	0.00152	-0.00449	-0.00768	0.99996	
84	0.83000	572.07904	185.15946	287.64337	0.43805	-0.26033	50.04508	0.20200	0.64218	0.76651	0.00878	-0.76654	0.64219	0.00143	-0.00454	-0.00765	0.99996	
85	0.84000	572.06393	185.19208	287.65286	0.44171	-0.26123	50.21280	0.19699	0.63993	0.76838	0.00884	-0.76842	0.63995	0.00143	-0.00456	-0.00771	0.99996	
86	0.85000	572.06035	185.20496	287.63765	0.43968	-0.26853	50.38006	0.19704	0.63769	0.77025	0.00890	-0.77028	0.63770	0.00128	-0.00469	-0.00767	0.99996	
87	0.86000	572.02497	185.20556	287.64404	0.44346	-0.27334	50.55221	0.23335	0.63537	0.77216	0.00901	-0.77220	0.63538	0.00123	-0.00477	-0.00774	0.99996	
88	0.87000	572.01628	185.22122	287.64887	0.44819	-0.27476	50.70375	0.23220	0.63332	0.77383	0.00909	-0.77387	0.63334	0.00124	-0.00480	-0.00782	0.99996	
89	0.88000	571.98988	185.25957	287.65011	0.44668	-0.27355	50.86719	0.21919	0.63111	0.77564	0.00906	-0.77568	0.63113	0.00122	-0.00477	-0.00780	0.99996	
90	0.89000	571.95214	185.26904	287.65193	0.44769	-0.27438	51.02934	0.19623	0.62892	0.77742	0.00909	-0.77746	0.62893	0.00119	-0.00479	-0.00781	0.99996	
91	0.90000	571.93588	185.30831	287.65589	0.44576	-0.27289	51.19443	0.21469	0.62667	0.77923	0.00905	-0.77927	0.62669	0.00116	-0.00476	-0.00778	0.99996	
92	0.91000	571.88712	185.32261	287.67783	0.44326	-0.26836	51.36125	0.20673	0.62440	0.78105	0.00897	-0.78109	0.62442	0.00117	-0.00468	-0.00774	0.99996	
